Telecommunications,Utilities,Consumer products,Energy,Plantations,ESG-rated year,ROA,ROE,MV,ESG,DV,Size,Growth,Leverage,GovOwn,FamilyOwn
1,0,0,0,0,2021,8.29210551,0.4184,9.69493684,61.64,1,22.39562221,-0.04224817,269.2833432,0,0
1,0,0,0,0,2020,8.80909306,0.55829,9.67386181,56.73,1,22.47856877,-0.11240984,314.0535149,0,0
1,0,0,0,0,2019,10.34863127,0.90939,9.82101695,52.35,1,22.54755703,-0.10352985,411.4917802,0,0
1,0,0,0,0,2018,7.03145259,0.74728,9.83114057,58.33,1,22.55738212,-0.00934864,610.0914453,0,0
1,0,0,0,0,2017,11.6514772,1.20704,10.14040721,59.58,1,22.64720787,-0.01459098,606.6754183,0,0
1,0,0,0,0,2016,9.37191412,1.01903,10.13177124,56.1,1,22.55838807,0.02507154,546.2889087,0,0
1,0,0,0,0,2015,8.91941998,0.95056,10.15733112,59.71,1,22.65493217,0.04662709,633.4333819,0,0
1,0,0,0,0,2014,7.42689335,0.79492,10.1975903,56.96,1,22.63004898,0.09199034,504.9768655,0,0
1,0,0,0,0,2013,6.5743983,0.79666,10.19298259,58.98,1,22.68383938,0.12327762,597.5905521,0,0
1,0,0,0,0,2012,6.44266645,0.84045,10.19298259,58.75,1,22.59719345,0.10874061,719.2966483,0,0
1,0,0,0,0,2021,1.81746666,0.04589,10.58169878,73.85,1,25.00754774,0.07013502,162.2936083,1,0
1,0,0,0,0,2020,0.92797865,0.0219,10.53521922,68.08,1,24.94221085,-0.01546338,155.1715586,1,0
1,0,0,0,0,2019,2.78412806,0.0866,10.57849941,66.41,1,24.92249112,0.02920277,158.6236225,1,0
1,0,0,0,0,2018,-7.43790073,0.05686,10.55148273,61.37,1,24.88055925,-0.02117087,127.1630005,1,0
1,0,0,0,0,2017,1.65284933,0.04558,10.69555677,60.33,1,24.97048878,0.13155379,83.316751,1,0
1,0,0,0,0,2016,1.0359445,0.06369,10.62623719,64.31,1,24.97871868,0.0845895,99.88883683,1,0
1,0,0,0,0,2015,5.01037097,0.11539,10.75159064,49.83,0,24.75072728,0.06261741,72.84048909,1,0
1,0,0,0,0,2014,5.11540614,0.11899,10.78119784,52.74,1,24.61768351,0.01855854,69.73089106,1,0
1,0,0,0,0,2013,6.33725609,0.12839,10.76977388,40.72,0,24.49596346,0.0407455,68.47752106,1,0
1,0,0,0,0,2012,6.85316095,0.14125,10.74815658,43.96,0,24.48285072,0.08355813,62.97384126,1,0
1,0,0,0,0,2021,14.50224874,1.87639,10.53018689,59.53,1,22.78248095,0.02973095,783.6897589,0,0
1,0,0,0,0,2020,14.94804016,1.95307,10.50770074,49.34,0,22.82565994,-0.02296376,899.8892476,0,0
1,0,0,0,0,2019,19.96376719,2.14968,10.54003526,50.79,1,22.82121517,-0.0351998,780.2879451,0,0
1,0,0,0,0,2018,25.59518871,2.58542,10.54391291,41.66,0,22.54986223,0.02943597,400.1934081,0,0
1,0,0,0,0,2017,26.06342933,2.84531,10.59827057,41.48,0,22.48690237,-0.03890026,521.3466662,0,0
1,0,0,0,0,2016,32.13806397,3.14386,10.57464753,36.12,0,22.42764259,-0.04583204,439.438635,0,0
1,0,0,0,0,2015,38.4252421,2.85782,10.62309416,37.66,0,22.26277344,-0.01489248,249.1339374,0,0
1,0,0,0,0,2014,50.42677802,3.01542,10.68098556,40.21,0,22.18368342,0.0423405,152.6875828,0,0
1,0,0,0,0,2013,43.93134888,3.6991,10.58618207,12.45,0,22.04560551,0.05856046,113.3626526,0,0
1,0,0,0,0,2012,27.16411273,1.44159,10.61415607,40.21,0,22.11303366,0.0665597,413.3418286,0,0
1,0,0,0,0,2021,5.89521127,0.18989,10.57824875,69,1,23.8342446,0.02643319,150.0371747,0,1
1,0,0,0,0,2020,6.24562196,0.19579,10.5946798,64.64,1,23.81121259,-0.03725974,138.4822695,0,1
1,0,0,0,0,2019,7.17785785,0.2137,10.61715906,72.36,1,23.78838424,0.01311557,141.7511784,0,1
1,0,0,0,0,2018,9.14059147,0.25086,10.61938745,69.3,1,23.70920027,-0.02408398,106.8602161,0,1
1,0,0,0,0,2017,11.24384408,0.35467,10.6695699,63.84,1,23.68072495,0.09376604,110.0673725,0,1
1,0,0,0,0,2016,10.42054856,0.44058,10.65037221,69.66,1,23.70098688,0.00130491,208.9437203,0,1
1,0,0,0,0,2015,9.41966331,0.44015,10.70615852,70.84,1,23.66686236,0.02528115,236.4350486,0,1
1,0,0,0,0,2014,9.7339914,0.35644,10.70914573,63.21,1,23.61967489,-0.07660891,191.4354971,0,1
1,0,0,0,0,2013,10.0891888,0.32138,10.73480562,56.36,1,23.57570494,0.01311768,125.8306625,0,1
1,0,0,0,0,2012,10.39608135,0.24529,10.69592908,54.47,1,23.6025867,0.01896687,96.63716794,0,1
1,0,0,0,0,2021,3.71534071,0.0914,8.66305768,78.77,1,21.0699663,0.07548545,48.35582048,0,1
1,0,0,0,0,2020,-1.29081205,-0.03129,8.49985444,70.25,1,21.01407626,-0.0582927,53.83228696,0,1
1,0,0,0,0,2019,-13.47641294,-0.09939,8.49216761,72.85,1,21.06517896,-0.06721389,42.11949577,0,1
1,0,0,0,0,2018,4.06853563,-0.13506,8.58282868,64.72,1,20.99907925,-0.01091983,0.51556846,0,1
1,0,0,0,0,2017,-35.868131,-0.15462,8.92582317,67.4,1,21.18212131,-0.06996078,40.97789082,0,1
1,0,0,0,0,2016,-3.11403978,-0.03841,9.10570742,67.19,1,21.48955985,-0.09713923,20.53243333,0,1
1,0,0,0,0,2015,5.76919358,0.08634,9.1488133,64.73,1,21.56915728,-0.0526138,18.51769809,0,1
1,0,0,0,0,2014,3.01353953,0.04649,9.29046931,40.51,0,21.63092785,-0.12534483,28.45024134,0,1
1,0,0,0,0,2013,8.20560731,0.13369,9.45987606,40.36,0,21.68133631,0.01478227,30.14714183,0,1
1,0,0,0,0,2012,8.30493223,0.14357,9.40251574,37.28,0,21.70465868,0.04667435,44.1252771,0,1
1,0,0,0,0,2021,2.48266204,0.1003,10.34946621,48.96,0,23.94220566,0.02894656,108.7230087,1,0
1,0,0,0,0,2020,2.93589264,0.1203,10.37428979,49.79,0,23.93256798,0.00200648,103.9102442,1,0
1,0,0,0,0,2019,4.83498837,0.14428,10.29786073,66.72,1,23.77474024,0.06356131,90.45076856,1,0
1,0,0,0,0,2018,5.99480808,0.1271,10.33460468,67.34,1,23.82317342,0.09210224,103.5621048,1,0
1,0,0,0,0,2017,3.84969511,0.11311,10.40805771,60.95,1,23.84224177,0.05705307,85.17124328,1,0
1,0,0,0,0,2016,2.51635439,0.09123,10.40617894,55.12,1,23.91838571,0.0433018,97.46934684,1,0
1,0,0,0,0,2015,3.72705351,0.1224,10.31713017,67.81,1,23.85138948,0.06353145,101.3488837,1,0
1,0,0,0,0,2014,2.26106498,0.085,10.15790645,57.96,1,23.96584647,-0.0325823,144.8057335,1,0
1,0,0,0,0,2013,3.99372872,0.14039,10.30995803,64,1,23.91285702,-0.05194067,133.8236533,1,0
1,0,0,0,0,2012,-1.07497375,0.02004,9.99983088,54.33,1,23.88893074,-0.02199403,113.9012917,1,0
